basomrade,year,mean_income_aged_gt_20,post_secondary_education_min_3_years_aged_25_64,population_aged_gt_20,municipality
3810100_lilla_alby,2014,338418.51,0.330118233,4404,0183_sundbyberg
1440312_danviken_s,2000,338391.94,0.642857143,32,0180_stockholm
5330410_utsalje,2008,338388.07,0.243970836,2290,0126_huddinge
3324200_berghem,2011,338388.05,0.287648054,1573,0123_jarfalla
3335420_sandvik,2007,338370.61,0.270773639,1712,0123_jarfalla
3411520_bjornbo,2002,338345.53,0.531746032,587,0186_lidingo
4133310_vastra_bollstanas,2007,338239.93,0.220140515,1059,0114_upplands_vasby
3411120_sodra_sticklinge,2003,338238.82,0.431677019,749,0186_lidingo
5432500_mensattra,2009,338215.78,0.264310954,1781,0182_nacka
3110260_satra,2003,338208.44,0.446393762,1411,0162_danderyd
6320622_rosenborg,2011,338198.31,0.35483871,93,0181_sodertalje
1420220_bysistappan,2013,338053.55,0.43358396,1702,0180_stockholm
1410220_sodra_station_ost,2009,338030.66,0.418118467,2255,0180_stockholm
3810410_hasthagen,2011,337983.63,0.401515152,502,0183_sundbyberg
1140240_rodaberget,2009,337946.09,0.536312849,3201,0180_stockholm
1210330_frescati,2010,337923.34,0.376344086,135,0180_stockholm
3911520_sodra_gribbylund,2002,337920.02,0.42,844,0160_taby
3411620_rudboda,2007,337875.22,0.431855501,1963,0186_lidingo
1210110_roslagstull,2007,337847.04,0.484848485,2325,0180_stockholm
2130430_ostra_stureby,2008,337819.2,0.420941673,2005,0180_stockholm
3110120_vastra_enebyberg,2001,337784.49,0.477787091,1725,0162_danderyd
3110340_kevinge,2010,337763.03,0.449458484,1030,0162_danderyd
5411700_skogalund,2008,337758.36,0.332026144,1007,0182_nacka
2220100_alvik,2012,337756.27,0.458270106,943,0180_stockholm
4450190_tunagard_osterskar,2003,337724.06,0.323296355,1574,0117_osteraker
5330332_jakobslund,2008,337708.3,0.27212806,1481,0126_huddinge
1410210_sodra_station_vast,2011,337708.18,0.40505145,1425,0180_stockholm
2210500_ballsta,2013,337676.87,0.254817987,579,0180_stockholm
3911020_vastra_roslags_nasby,2008,337669.48,0.4375,129,0160_taby
2230630_norra_vallingby,2006,337654.61,0.502946955,768,0180_stockholm
3110610_klockargarden,2006,337614.45,0.409972299,1003,0162_danderyd
3532010_munkholmen,2007,337582.75,0.265014299,1351,0191_sigtuna
3312250_bonas,2006,337558.61,0.267326733,335,0123_jarfalla
2110230_ekensberg,2013,337547.4,0.379044684,905,0180_stockholm
3911740_s_a_midgards_industriomr,2009,337522.43,0.336538462,116,0160_taby
1110250_elverket,2005,337469.52,0.504504505,281,0180_stockholm
1230120_historiska_musuet,2001,337456.68,0.4622057,2285,0180_stockholm
3411400_bo_garde,2000,337455.07,0.505836576,435,0186_lidingo
3346110_skalby,2012,337444.3,0.257628814,2716,0123_jarfalla
2150830_sodra_bagarmossen,2008,337437.18,0.504570384,716,0180_stockholm
4210320_ostra_ormsta,2010,337382.93,0.25,1238,0115_vallentuna
3911680_erikslund,2009,337382.66,0.299287411,605,0160_taby
1430130_blekingetappan,2014,337347.43,0.447073474,2108,0180_stockholm
5432710_sodra_lannersta,2004,337325.75,0.331325301,395,0182_nacka
5432400_krokhojden,2008,337315.68,0.296296296,674,0182_nacka
1010201_centralstationen_n,2002,337306.15,0.392473118,246,0180_stockholm
4450150_ostra_sora,2012,337306.07,0.258441558,1072,0117_osteraker
4210220_nv_a_vallentuna_tatort,2010,337302.46,0.293755497,1594,0115_vallentuna
5211131_sodra_vendelso,2012,337282.78,0.217806041,1734,0136_haninge
4122600_vastra_odenslunda,2014,337278.97,0.184210526,963,0114_upplands_vasby
2110380_hagerstenshamnen,2008,337251.71,0.429769392,640,0180_stockholm
1230360_oregrundsgatan,2014,337231.36,0.553947368,2199,0180_stockholm
4450240_skansta,2013,337214.28,0.220752798,1361,0117_osteraker
5311041_stensangen_hogmora,2009,337190.18,0.261492537,2032,0126_huddinge
4311810_rindo_centrum,2012,337175.85,0.311643836,415,0187_vaxholm
1440250_barnangen,2004,337166.87,0.463576159,1505,0180_stockholm
3610770_nytorp,2006,337163.39,0.427172583,1198,0163_sollentuna
2250340_hasselby_kyrka,2009,337162.38,0.333333333,1079,0180_stockholm
5140642_lanthem_n,2007,337146.75,0.32346723,652,0127_botkyrka
1110111_brunnsgatan_n,2007,337120.24,0.473529412,391,0180_stockholm
4122540_brunnby,2010,337099.18,0.218181818,702,0114_upplands_vasby
1220130_ostermalmstorg,2005,337062.3,0.442811502,2207,0180_stockholm
3910780_ostra_ensta,2002,337061.62,0.399503722,566,0160_taby
4133200_frestaby,2008,337018.61,0.198807157,1251,0114_upplands_vasby
5620100_brunn,2009,336979.57,0.196116505,655,0120_varmdo
1410140_gullfjardsplan,2007,336936.37,0.442468619,1216,0180_stockholm
4122600_vastra_odenslunda,2013,336933.25,0.186495177,941,0114_upplands_vasby
1410220_sodra_station_ost,2008,336870.48,0.412790698,2196,0180_stockholm
1010201_centralstationen_n,2005,336863.2,0.360759494,236,0180_stockholm
3413720_norra_gangsatra,2002,336862.68,0.465944272,854,0186_lidingo
3610951_vastra_helenelund,2005,336844.53,0.363138686,1395,0163_sollentuna
3910330_mellersta_viggbyholm,2005,336834.38,0.361111111,965,0160_taby
5211230_ramsdalen,2012,336807.29,0.235294118,1412,0136_haninge
1320500_fredhall,2014,336756.33,0.498088476,4789,0180_stockholm
1320130_fridhemsplan,2005,336725.51,0.470149254,786,0180_stockholm
3110530_inverness,2009,336696.62,0.412087912,601,0162_danderyd
1320140_s_t_eriksgatan,2010,336655.28,0.480339729,4347,0180_stockholm
5411200_sickla_industriomr,2005,336597.22,0.477011494,633,0182_nacka
1140140_halsingehojden,2005,336569.64,0.474683544,2698,0180_stockholm
1220120_dramatiska_teatern,2000,336538.49,0.36196319,430,0180_stockholm
1130110_atlasomradet,2010,336521.2,0.523087526,1746,0180_stockholm
3522060_sjudargarden,2003,336520.51,0.36,417,0191_sigtuna
3335600_fjallen,2008,336497.04,0.24,1251,0123_jarfalla
3510260_norra_ekilla,2013,336495.39,0.142857143,579,0191_sigtuna
5432500_mensattra,2008,336480.25,0.264497878,1762,0182_nacka
2160130_fagersjovagen,2014,336473.48,0.373529412,480,0180_stockholm
3911510_lansen,2006,336466.24,0.291614518,950,0160_taby
5140711_tullinge_skog,2011,336448.62,0.30620985,1318,0127_botkyrka
5432600_kallvagen,2005,336403.16,0.292758089,1482,0182_nacka
2230300_nalsta,2010,336379.5,0.340480274,3280,0180_stockholm
5222500_smadalaro,2013,336359.6,0.195121951,324,0136_haninge
5515220_inre_brevik_yttre_brevik,2011,336347.3156,0.215882806,1638,0138_tyreso
1130150_polstjarnan,2006,336320.34,0.511111111,938,0180_stockholm
3720770_norra_vasalund,2009,336310.21,0.4169279,469,0184_solna
3610760_tojnan,2005,336266.85,0.349570201,2271,0163_sollentuna
2150830_sodra_bagarmossen,2010,336249.05,0.528440367,725,0180_stockholm
2240631_solhems_villastad_vast,2008,336226.11,0.337992376,1054,0180_stockholm
2120300_liseberg,2013,336207.77,0.379598662,1036,0180_stockholm
1230161_gustav_adolfskyrkan_v,2004,336178.58,0.458832335,2134,0180_stockholm
3110620_berga,2000,336174.58,0.498269896,382,0162_danderyd
3311110_staket,2006,336122.33,0.20969697,959,0123_jarfalla
3710350_sodra_bergshamra,2011,336111.42,0.543422184,1662,0184_solna
1420240_zinkensdamm,2013,336093.62,0.431750742,1782,0180_stockholm
5130810_uttran,2008,336085,0.265586035,1064,0127_botkyrka
5411220_nysatra,2002,336074.33,0.47639485,311,0182_nacka
4210440_karlberg_rickeby_okvista,2009,336071.22,0.260574018,1758,0115_vallentuna
1140210_norra_station_1_norra_station_2,2014,336064.78,0.503937008,327,0180_stockholm
5311030_segersminne,2011,335982.29,0.343864805,2021,0126_huddinge
1010130_munkbron,2009,335973.21,0.398449612,860,0180_stockholm
5255121_jagartorp,2014,335967.53,0.219312602,903,0136_haninge
2150200_enskededalen,2007,335950.85,0.425670187,1668,0180_stockholm
2240631_solhems_villastad_vast,2009,335934.44,0.332911392,1063,0180_stockholm
1310120_kungsklippan,2007,335920.45,0.486206897,3319,0180_stockholm
3411610_boson,2011,335865.47,0.40625,102,0186_lidingo
3720780_ekensberg,2014,335834.44,0.31459797,1749,0184_solna
2220900_ulvsunda,2011,335823.59,0.41878368,1695,0180_stockholm
3911680_erikslund,2011,335807.53,0.329207921,623,0160_taby
6410500_turinge_glesbygd,2013,335798.19,0.19245648,1353,0140_nykvarn
1420320_tanto,2013,335736.94,0.547420965,1121,0180_stockholm
5432020_sodra_bjorknas,2007,335710.92,0.320754717,1475,0182_nacka
3250400_ska_fd_forsamling,2012,335693.36,0.270588235,1046,0125_ekero
4450190_tunagard_osterskar,2002,335647.45,0.31410756,1584,0117_osteraker
1430240_bjurholmsplan,2013,335609.62,0.436662453,5049,0180_stockholm
3522050_prastangen_och_hallsbo,2009,335516.56,0.319306931,628,0191_sigtuna
3220500_ekero_glesbygd,2010,335468.21,0.273362445,1458,0125_ekero
1140240_rodaberget,2008,335448.1,0.540598291,3201,0180_stockholm
2150830_sodra_bagarmossen,2009,335413.88,0.513661202,722,0180_stockholm
3710580_pampas_marina_ingenting,2003,335392.43,0.40397351,171,0184_solna
1010120_skeppsbron,2010,335374.23,0.404109589,407,0180_stockholm
5511160_sodra_hanviken,2010,335365.28,0.268792711,649,0138_tyreso
1220160_hedvig_eleonora_kyrka,2005,335312.97,0.440438871,878,0180_stockholm
6320550_ragnhildsborg,2010,335294.07,0.266129032,452,0181_sodertalje
5311042_kynas,2009,335279.97,0.287076271,2511,0126_huddinge
2220100_alvik,2013,335267.43,0.438053097,970,0180_stockholm
3610730_turebergs_industriomr,2008,335251.38,0.420677362,927,0163_sollentuna
2120402_langbro_o,2008,335245.38,0.335728953,2475,0180_stockholm
3250320_sanga_glesbygd,2011,335240.78,0.273858921,643,0125_ekero
3413210_bredablick,2011,335226.58,0.43866171,387,0186_lidingo
1420130_ludvigsberg,2014,335224.55,0.471088435,950,0180_stockholm
3413150_torsviks_torg,2014,335205.73,0.465227818,862,0186_lidingo
1220120_dramatiska_teatern,2002,335197.25,0.359050445,424,0180_stockholm
5515220_inre_brevik_yttre_brevik,2010,335181.1378,0.2171875,1582,0138_tyreso
3610780_skansen,2000,335173.11,0.43019943,940,0163_sollentuna
5330332_jakobslund,2009,335150.52,0.274859287,1503,0126_huddinge
1210161_humlegarden_o,2003,335090.92,0.464673913,462,0180_stockholm
1410110_mariaberget,2011,335080.46,0.497159091,2371,0180_stockholm
4070160_sylta,2009,335065.27,0.256410256,485,0139_upplands_bro
4133120_ostra_odenslunda,2013,335050.14,0.236082474,1331,0114_upplands_vasby
5512010_norra_lindalen,2014,335026.02,0.215846995,1156,0138_tyreso
5620100_brunn,2008,334996.7,0.19581749,647,0120_varmdo
3312300_molnsattra,2011,334994.55,0.247058824,440,0123_jarfalla
2210840_angbylunden,2004,334955.25,0.412021858,1130,0180_stockholm
2240700_sundby,2008,334938.03,0.283286119,1368,0180_stockholm
6382500_overjarna_glesbygd,2012,334905.92,0.24456114,1643,0181_sodertalje
5511000_vastra_trollbacken,2007,334903.27,0.287124271,3118,0138_tyreso
5712300_ronninge_centrum,2014,334891.73,0.293172691,476,0128_salem
2160930_norra_svedmyra,2007,334882.08,0.420038536,647,0180_stockholm
5140642_lanthem_n,2009,334877.36,0.332653061,690,0127_botkyrka
4010120_skallsta_vastra_raby_garde,2011,334811.22,0.227848101,85,0139_upplands_bro
3542000_haga_forsamling,2009,334807.26,0.278431373,321,0191_sigtuna
5515210_vissvass_raksta_solberga_bergholm,2013,334787.91,0.217391304,655,0138_tyreso
1420420_reimersholme,2011,334786.78,0.580645161,1902,0180_stockholm
1320410_vastra_kristineberg,2012,334782.1,0.512891344,2734,0180_stockholm
1440250_barnangen,2003,334762.7,0.450132392,1422,0180_stockholm
3910480_norra_landsbygden,2006,334758.37,0.175925926,137,0160_taby
3911550_sveavagen,2003,334702.79,0.340314136,700,0160_taby
1330100_lilla_essingen,2009,334701.57,0.454002389,4055,0180_stockholm
5514000_krusboda,2014,334683.96,0.237797957,2662,0138_tyreso
3551150_steninge_gard,2008,334658.59,0.232258065,187,0191_sigtuna
5211940_osterhaninge_kyrka,2014,334640.75,0.195439739,416,0136_haninge
1440120_sofia_kyrka,2014,334615.4,0.45368984,6146,0180_stockholm
1430250_nytorget,2012,334599.02,0.439801919,4237,0180_stockholm
5140712_lanthem_s,2009,334564.36,0.297551789,690,0127_botkyrka
3720770_norra_vasalund,2008,334554.72,0.398148148,462,0184_solna
5255121_jagartorp,2013,334533.8,0.213087248,884,0136_haninge
2220100_alvik,2008,334530.11,0.483713355,879,0180_stockholm
4133330_ostra_bollstanas,2007,334510.55,0.225279851,2628,0114_upplands_vasby
5310830_fridhem,2007,334444.2,0.284781189,2029,0126_huddinge
4450330_flaxenvik,2012,334374.97,0.175219024,1019,0117_osteraker
3220230_knalleborg,2008,334373.09,0.285067873,906,0125_ekero
5211800_norra_soderby,2014,334336.76,0.171933086,1447,0136_haninge
1230300_hastgardet,2009,334326.86,0.521698984,1539,0180_stockholm
6132120_osthamra,2013,334257.82,0.196721311,167,0188_norrtalje
4451231_sodra_runo_sodra_runotaljo_sodra_runo_nas,2008,334230.34,0.328638498,712,0117_osteraker
1110112_brunnsgatan_s,2014,334214.43,0.401515152,406,0180_stockholm
5711020_soderby_park,2013,334195.11,0.256993007,736,0128_salem
5712110_norra_ronninge,2005,334194.08,0.348605578,1264,0128_salem
3610510_klasro,2014,334180.59,0.276264591,735,0163_sollentuna
5630400_kopparmora,2014,334174.82,0.148148148,448,0120_varmdo
3541000_sankt_pers_forsamling,2012,334144.98,0.208333333,430,0191_sigtuna
3110120_vastra_enebyberg,2002,334074.7,0.492372881,1706,0162_danderyd
5310941_solgard,2009,334066.22,0.293760832,1456,0126_huddinge
3910820_sodra_ellagard,2003,334057.06,0.412844037,468,0160_taby
3911010_ostra_roslags_nasby,2012,334019.03,0.402777778,1138,0160_taby
5320510_trangsunds_glesbygd,2012,334013.6,0.241477273,450,0126_huddinge
5432700_norra_lannersta,2004,333977.83,0.332673267,1180,0182_nacka
5340500_glomsta,2014,333954.72,0.272727273,1473,0126_huddinge
1430230_katarina_kyrka,2010,333946.59,0.433096315,2067,0180_stockholm
4450230_hacksta,2009,333916.82,0.219959267,646,0117_osteraker
4210420_kragstalund,2011,333901.57,0.300075586,1715,0115_vallentuna
5414310_hedvigslund,2008,333865.73,0.284928493,1052,0182_nacka
1010130_munkbron,2008,333860.81,0.416534181,820,0180_stockholm
3510270_ostra_arenberga,2008,333859.6,0.220994475,313,0191_sigtuna
3910110_vastra_nasbypark,2003,333859.21,0.483018868,1113,0160_taby
4451430_ostra_ryds_glesbygd,2014,333831.56,0.166666667,148,0117_osteraker
1320150_alstromergatan,2010,333807.63,0.498240866,4790,0180_stockholm
2160530_gubbangens_gard,2010,333801.76,0.264204545,451,0180_stockholm
4450320_trasatra,2013,333750.57,0.227109974,2708,0117_osteraker
3414310_brevik,2004,333703.32,0.444839858,1257,0186_lidingo
1140240_rodaberget,2010,333699.56,0.542422963,3283,0180_stockholm
1140120_tre_liljor,2007,333675.57,0.485573273,3357,0180_stockholm
1310140_tekniska_namndhuset,2005,333667.31,0.370860927,209,0180_stockholm
3522020_ostra_sigtuna,2006,333665.04,0.282560706,1286,0191_sigtuna
5320410_lanna_drevviken,2008,333651.03,0.206741573,1023,0126_huddinge
3250320_sanga_glesbygd,2012,333647.71,0.257545272,660,0125_ekero
5610500_gustavsbergs_glesbygd_gustavsbergs_glesbygd_v,2005,333629.06,0.275862069,688,0120_varmdo
3335600_fjallen,2009,333609.58,0.243577545,1270,0123_jarfalla
3324320_norra_nibble,2014,333586.09,0.307037896,1969,0123_jarfalla
1220110_ostermalmshallen,2010,333575.8,0.411042945,241,0180_stockholm
5411030_kvarnholmen,2012,333573.26,0.365979381,244,0182_nacka
5611160_osby_grind,2011,333519.42,0.263473054,207,0120_varmdo
3551150_steninge_gard,2006,333518.65,0.279569892,114,0191_sigtuna
4122540_brunnby,2009,333515.98,0.20990099,708,0114_upplands_vasby
5513220_bondevagen,2012,333504.62,0.371747212,420,0138_tyreso
1110240_norra_real,2005,333473.34,0.459381044,1344,0180_stockholm
3610680_kvarnskogen,2005,333468.19,0.421383648,200,0163_sollentuna
3413720_norra_gangsatra,2001,333463.38,0.472527473,850,0186_lidingo
5255150_nedersta_nodesta,2014,333454.9459,0.19481982,1369,0136_haninge
5411220_nysatra,2004,333436.54,0.532188841,312,0182_nacka
5140641_tullinge_parkhem,2008,333435.02,0.253164557,1991,0127_botkyrka
5310950_horningsns_balingsnas,2011,333423.72,0.310986965,2341,0126_huddinge
3324200_berghem,2009,333353.71,0.27427598,1542,0123_jarfalla
2220400_nockebyhov,2008,333271.3,0.459670425,1974,0180_stockholm
2240122_sodra_bromsten_s,2008,333264.28,0.254847645,425,0180_stockholm
1320420_thorildsplan,2014,333221.95,0.476031215,2210,0180_stockholm
1440240_vintertullen,2007,333216.79,0.5,1161,0180_stockholm
5310942_sorskogen,2010,333210.86,0.275752773,873,0126_huddinge
4122520_skalby,2014,333181.7,0.205769231,849,0114_upplands_vasby
3522030_gamla_sigtuna,2006,333179.49,0.318637275,810,0191_sigtuna
3911020_vastra_roslags_nasby,2011,333160.09,0.482352941,128,0160_taby
3910920_gripsvall,2003,333110.76,0.438669439,588,0160_taby
5211120_gudo,2008,333046.51,0.199881023,2009,0136_haninge
5511130_sodergarden,2009,333043.68,0.236786469,1293,0138_tyreso
3220270_sandudden,2002,333033.89,0.384057971,465,0125_ekero
1210330_frescati,2009,333033.18,0.397849462,131,0180_stockholm
5620530_langvik_klacknaset_skalsmara,2014,333020.1627,0.210041841,1696,0120_varmdo
5630300_skepsdalsstrom,2005,332988.29,0.2875,1711,0120_varmdo
1230210_djurgardsstaden,2009,332957.72,0.280952381,340,0180_stockholm
4230100_lindholmen,2011,332908.14,0.279475983,592,0115_vallentuna
1010240_oscarsteatern,2008,332856.16,0.59,121,0180_stockholm
5211120_gudo,2009,332821.81,0.205865103,2071,0136_haninge
6210270_kallsmo,2007,332781.56,0.2265625,159,0192_nynashamn
2140220_tradskolan,2013,332775.14,0.374695864,534,0180_stockholm
3810110_sundbybergs_industriomrade,2003,332761.51,0.340153453,478,0183_sundbyberg
6210270_kallsmo,2009,332734.36,0.207207207,157,0192_nynashamn
3510270_ostra_arenberga,2014,332706.79,0.197740113,321,0191_sigtuna
1440260_mjardgrand,2004,332677.19,0.41,946,0180_stockholm
2120900_orby_slott,2014,332649.73,0.327290076,1436,0180_stockholm
5511140_skalsatra,2007,332587.29,0.224137931,1058,0138_tyreso
5511130_sodergarden,2010,332582.05,0.243534483,1318,0138_tyreso
3720720_filmstaden,2003,332561.75,0.625,37,0184_solna
3610230_ostra_viby,2006,332559.8,0.313060818,1277,0163_sollentuna
3346200_skalby_gard,2007,332511.76,0.218623482,1315,0123_jarfalla
1110230_surbrunnsomradet,2010,332481.47,0.442369607,2176,0180_stockholm
3324200_berghem,2010,332445.12,0.278534923,1567,0123_jarfalla
5411020_finnberget,2013,332440.76,0.385869565,493,0182_nacka
3610650_ovriga_edsberg,2010,332439.91,0.354014599,894,0163_sollentuna
1310130_kungsbroplan,2001,332360.21,0.414660832,1129,0180_stockholm
5432900_gustavsvik,2010,332345.67,0.244851259,506,0182_nacka
3911010_ostra_roslags_nasby,2011,332306.87,0.378616352,1141,0160_taby
2230300_nalsta,2008,332258.34,0.324430823,3213,0180_stockholm
1140250_s_t_eriksplan,2006,332245.44,0.491982507,1734,0180_stockholm
5411040_danviken,2004,332222.39,0.419093851,1055,0182_nacka
5140712_lanthem_s,2008,332137.06,0.286238532,696,0127_botkyrka
5130810_uttran,2007,332127.28,0.26328801,1059,0127_botkyrka
3710141_sodra_frosunda_norra_frosunda,2001,332125.39,0.447257384,274,0184_solna
5712110_norra_ronninge,2006,332120.1,0.352112676,1257,0128_salem
5255920_vasterhaninge_glesbygd_s,2012,332097.8,0.137176938,646,0136_haninge
5630120_fruvik,2007,332072.58,0.291784703,857,0120_varmdo
3911620_vastra_vallabrink,2000,332067.76,0.398734177,759,0160_taby
1410140_gullfjardsplan,2006,332035.96,0.429606625,1231,0180_stockholm
4451420_svartgarn,2009,332012.6,0.251046025,597,0117_osteraker
1130110_atlasomradet,2008,331993.62,0.496276236,1759,0180_stockholm
5211430_kolartorp,2013,331980.58,0.138349515,504,0136_haninge
5310941_solgard,2008,331959.43,0.294317218,1460,0126_huddinge
4450150_ostra_sora,2011,331936.15,0.248670213,1039,0117_osteraker
2140220_tradskolan,2012,331933.59,0.373170732,533,0180_stockholm
2250320_trollboda,2007,331928.22,0.254141032,2672,0180_stockholm
4311661_ytterby_overby,2004,331924.03,0.279141104,1129,0187_vaxholm
3220101_tappstrom_narlunda,2006,331869.58,0.327924851,1634,0125_ekero
1420410_langholmen,2013,331854.97,0.373493976,117,0180_stockholm
5140110_tullinge_villastad,2008,331847.17,0.297276853,1491,0127_botkyrka
3542000_haga_forsamling,2012,331840.42,0.301158301,333,0191_sigtuna
4210220_nv_a_vallentuna_tatort,2009,331831.99,0.270394134,1515,0115_vallentuna
1210330_frescati,2008,331785.54,0.333333333,130,0180_stockholm
2250332_hasselby_villastrand,2003,331753.9,0.359673025,3418,0180_stockholm
3551150_steninge_gard,2010,331742.69,0.210526316,269,0191_sigtuna
1140230_rorstrand,2006,331737.04,0.515608632,5742,0180_stockholm
4450260_asatra,2014,331731.51,0.149309912,1116,0117_osteraker
1330200_stora_essingen,2007,331727.36,0.427610759,3192,0180_stockholm
2250332_hasselby_villastrand,2002,331715.46,0.354265403,3406,0180_stockholm
1430150_eriksdal,2014,331674.22,0.429602888,1859,0180_stockholm
4311620_vastra_vaxon,2014,331663.36,0.269635628,1894,0187_vaxholm
5330340_krakvik,2008,331634.18,0.27,1293,0126_huddinge
3610330_ostra_norrviken,2002,331609.76,0.439759036,451,0163_sollentuna
3347300_jarfalla_kyrka,2007,331533.34,0.358267717,319,0123_jarfalla
5140711_tullinge_skog,2008,331518.28,0.286014721,1211,0127_botkyrka
5330331_smista_juringe,2013,331517.91,0.266244057,3337,0126_huddinge
3910810_norra_ellagard,2004,331514.53,0.509594883,683,0160_taby
1230162_gustav_adolfskyrkan_o,2008,331503.03,0.487892377,1768,0180_stockholm
4210530_vallentuna_glesbygd_no,2012,331477.26,0.21754386,353,0115_vallentuna
2240632_spanga_gymnasium,2003,331471.86,0.379577465,1818,0180_stockholm
2160530_gubbangens_gard,2009,331465.1,0.237142857,452,0180_stockholm
1420410_langholmen,2012,331414.54,0.34939759,115,0180_stockholm
6351210_ekeby,2011,331390.58,0.179104478,718,0181_sodertalje
3250400_ska_fd_forsamling,2013,331374.82,0.268506901,1079,0125_ekero
4450340_skargardsstad,2005,331374.08,0.230051813,1070,0117_osteraker
3910380_sodra_hagernas,2011,331361.47,0.281818182,1614,0160_taby
4450320_trasatra,2012,331296.9,0.217806841,2688,0117_osteraker
4050100_habo_tibble_kyrkby,2007,331273.95,0.15,214,0139_upplands_bro
6210270_kallsmo,2008,331273.59,0.20661157,161,0192_nynashamn
5713000_salems_glesbygd,2014,331263.88,0.229508197,155,0128_salem
1430130_blekingetappan,2013,331254.17,0.449068323,2091,0180_stockholm
3810310_lotsjo,2009,331252.33,0.418103448,542,0183_sundbyberg
2161030_sodra_tallkrogen,2008,331240.87,0.314712825,1602,0180_stockholm
5211150_dalen,2008,331235.6,0.202409639,479,0136_haninge
4311610_ostra_vaxon,2014,331223.33,0.300943396,2009,0187_vaxholm
6351210_ekeby,2014,331210.28,0.18510158,726,0181_sodertalje
6320550_ragnhildsborg,2009,331207.05,0.275280899,425,0181_sodertalje
2240640_solhems_villastad_nord,2006,331203.49,0.502463054,277,0180_stockholm
2230300_nalsta,2009,331186.08,0.328731665,3246,0180_stockholm
5140110_tullinge_villastad,2009,331150.51,0.301329394,1539,0127_botkyrka
1230120_historiska_musuet,2004,331141.75,0.488516449,2331,0180_stockholm
5211140_norra_vendelso,2006,331121.27,0.253546099,698,0136_haninge
3610310_vastra_norrviken,2007,331104.04,0.343987823,1838,0163_sollentuna
2120201_herrangen_v,2005,331102.61,0.305282005,1462,0180_stockholm
1140210_norra_station_1_norra_station_2,2013,331094.7,0.51417004,320,0180_stockholm
3910110_vastra_nasbypark,2002,331052.1,0.47960445,1129,0160_taby
4451250_svinninge,2010,331049.57,0.24610052,751,0117_osteraker
5222100_dalaro,2011,331049.3,0.243759178,1043,0136_haninge
5711020_soderby_park,2012,331041.08,0.244036697,709,0128_salem
3911540_norra_gribbylund,2000,331038.33,0.336027714,1962,0160_taby
3413210_bredablick,2010,331035.27,0.434306569,397,0186_lidingo
4210320_ostra_ormsta,2008,331034.59,0.224924012,1200,0115_vallentuna
5515010_oringe,2012,331029.09,0.233958539,1334,0138_tyreso
1010230_centralposten,2006,331019.85,0.443946188,261,0180_stockholm
2210400_bromma_kyrka,2000,331014.3,0.438230384,1575,0180_stockholm
5432300_kil,2005,331010.75,0.312820513,460,0182_nacka
3720740_rasundaskolan_rasundastadion,2011,331008.64,0.423112768,1447,0184_solna
5515210_vissvass_raksta_solberga_bergholm,2012,330951.91,0.215291751,628,0138_tyreso
3911670_vallatorp,2006,330921.41,0.32675709,957,0160_taby
5255150_nedersta_nodesta,2013,330915.3406,0.191011236,1374,0136_haninge
1440250_barnangen,2002,330911.92,0.439962477,1339,0180_stockholm
2120900_orby_slott,2013,330902.49,0.312144213,1433,0180_stockholm
1010310_norrlandsgatan,2007,330899.77,0.386138614,107,0180_stockholm
5414100_kolarangen,2004,330883.17,0.292207792,1231,0182_nacka
4311810_rindo_centrum,2013,330883.03,0.294520548,423,0187_vaxholm
3911790_runborg,2004,330871.66,0.335674157,1717,0160_taby
1120210_kungssten,2005,330870.07,0.482,1899,0180_stockholm
3720710_rasunda_kyrka_sodra_rasunda,2011,330858.6896,0.454061724,3889,0184_solna
2210850_attehagen,2004,330846.37,0.405487805,787,0180_stockholm
3610730_turebergs_industriomr,2012,330832.54,0.39231547,1527,0163_sollentuna
4210320_ostra_ormsta,2009,330806.48,0.237512742,1214,0115_vallentuna
3710310_norra_bergshamra,2013,330779.29,0.576592083,866,0184_solna
3110530_inverness,2013,330767.19,0.407103825,651,0162_danderyd
3911680_erikslund,2008,330749.47,0.303529412,601,0160_taby
3610750_fagelsangen,2005,330659.6,0.387012987,1048,0163_sollentuna
4210330_vastra_ormsta,2012,330638.83,0.266409266,1161,0115_vallentuna
2220400_nockebyhov,2011,330581.76,0.464686998,2167,0180_stockholm
5514000_krusboda,2013,330572.18,0.235935706,2638,0138_tyreso
3110340_kevinge,2007,330546.57,0.454545455,1027,0162_danderyd
4311820_rindo,2013,330535.96,0.265,278,0187_vaxholm
6123220_sodra_estuna,2014,330501.01,0.133333333,254,0188_norrtalje
6321720_ostertalje,2011,330496.25,0.305898491,1142,0181_sodertalje
5411700_skogalund,2007,330486.28,0.332026144,999,0182_nacka
4451231_sodra_runo_sodra_runotaljo_sodra_runo_nas,2009,330409.49,0.338658147,719,0117_osteraker
1230120_historiska_musuet,2002,330408.35,0.47826087,2283,0180_stockholm
2220100_alvik,2009,330401.77,0.494077834,860,0180_stockholm
6240550_osmo_norra_glesbygd,2013,330400.12,0.212814645,1118,0192_nynashamn
3610750_fagelsangen,2004,330385.23,0.368351064,1027,0163_sollentuna
1120230_sjokatten,2007,330363.34,0.456885457,978,0180_stockholm
5411340_nacka_strand,2006,330358.08,0.345959596,471,0182_nacka
6110450_kvisthamra,2014,330324.06,0.279754601,1392,0188_norrtalje
5411900_hasthagen,2001,330305.61,0.372807018,287,0182_nacka
